,age,body_type,diet,drinks,drugs,education,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
1117,29,fit,mostly anything,socially,never,graduated master program,really involved wearing bow tie lactose intolerant vocal tattoo state california forearm pierced ear dance shit damned keep trying told dmv test giver best parallel parker basically time ve able satisfy woman bit d2 d9 tendency bit d8 d1 address ve slept couch sunglass multiple time eat spam vote absolutely love career extremely lucky found passion arty love midcentury modernism los angeles freeway small dog photography often loud,politics urban planning taking meeting cutting bitch,cuddling getting un lost,eye somewhat shifty smile depending venue,architecture happiness velvet rage zen art archery boy meet boy single man visual acoustic eat pray love star trek vi star trek 500 day summer shelter paris texas kill bill sleepless seattle deep space big bang theory modern family frasier xx miike snow toro moi bon iver calvin harris rus chime jimmy eat world empire sun adele phoenix drake nicki minaj spam burrito jook soon du boo pho sushi tecate hendricks kimbap pumpkin curry cha sui bao papusas phillipe french dip green bean casserole tortas chocolate chocolate chip cooky oh shrimp burrito little omfg,friend family chocolate california iphone music bike,will nice addition okcupid profile immeasurable impact sustainability focused development practice doubt longterm urban settlement pattern overall livability state california beyond obviously former,drinking week turn nun prostitution gleefully eating whichever easiest pull together 30 00 text message situationally appropriate,monagmish,looking make new friend meet cool people,,70,,political government,2012 06 30 23 29,san francisco california,want kid,gay,like dog like cat,,,gemini rsquo fun think,,english fluently spanish okay french poorly,seeing someone
1120,33,fit,strictly anything,often,sometimes,graduated college university,scot irish read white trash german jew smartish well read bad money prone various excess given boozy sentiment hyperbole,playing music traveling bartending converting oxygen carbon dioxide,bass guitar,right achilles heel,start kurt vonnegut tom robbins oscar wilde jack kerouac hunter thompson kafka italno calvino bukowski bladerunner child men hot dr strangelove blue brother coltrane mile radiohead james brown otis redding sam cooke beethoven chopin bartok beck belle sebastian mike patton faith patsy cline marisa monte bob dylan sigur ro bjork john prine beck food except cheetos shit favorite japanese italian mexican vietnamese middle eastern show louie rescue 30 rock night court seinfeld arrested development rome curb deadwood,alpo beer cop drug earlobe frontal lobe,little possible,working,glancing as mirror taking shower pretending belongs gael garcia bernal,opposable thumb,white,70,40000,artistic musical writer,2012 06 26 16 18,san francisco california,doesn rsquo kid doesn rsquo want,bisexual,like dog like cat,atheism laughing,,cancer doesn rsquo matter,,english italian fluently spanish poorly,single
1141,39,average,mostly anything,socially,never,graduated college university,secure amp happy self little self enjoy going play opera travel camping lake working yard music museum cooking going dinner amp hanging friend family lineage made best ingredient part english french jewish native american amp puerto rican say way man heart stomack well good cook good lover top amp hiv earth guy looking tender loving care raised country country value living city year cultured enjoy going bed good book looking guy honest wise,work management small firm city future business working,good multitasking,height,something talk first date,family food water chocolate ipad cell phone,future,amp,now amp will tell,wish,,74,,clerical administrative,2012 06 27 15 31,san francisco california,doesn rsquo kid might want,gay,like dog like cat,catholicism somewhat serious,,cancer doesn rsquo matter,,english fluently spanish fluently,single
1146,29,average,mostly anything,socially,never,graduated two year college,matt turn 29 april bartend wait table living music animal art etc probably neutral guy ll meet witty sarcastic shy time guess walking contradiction,growing human,making best worst,piercing blue eye dimple talli guy pretty genuine told people know finding older strogic lover ll definitely listen hopeless romantic,music every thing punk metal hip hop sort rockabilly artist enjoy afi pantera pennywise slipknot converge korn bleeding integrity madball morrissey atmosphere wu tang johny cash tiger army hank williams book preacher choke watchman le zero fight club movie taxi driver new batman professional boondock saint evil dead food ll eat almost thing mexican italian chinese good old fashioned american piece red meat steak cheese burger enjoy sushi time time,beer book food broadband internet music dog direct tv nice,next chapter,friend working,saw limp bizkit three time twice korn filter counted bfd 2000 purposely left played,drop hot want,white,75,,,2012 07 01 02 23,alameda california,doesn rsquo kid,straight,like dog,agnosticism laughing,,aries doesn rsquo matter,,english fluently,single
1153,44,average,anything,socially,never,graduated master program,new tact online dating new year direct seems inordinate number men 40 nothing snowboard travel around world yet want kid someday men probably read ve got something offer looking honest interesting caring person display public affection welcome opening door general courteous chivalrous action will always noticed appreciated adventure yes two kid every weekend thailand great long range trip planned spontaneous one much organized sport fan told played recent superbowl said understand important sport interest choose spend much time building thing love garage turned idea handle power drill instead intimidated fun diy project think snowboarding must fantastic lot downhill skiing growing kind want go weekend committed great,raising teaching two boy caring responsible interesting people thing strive elementary school teacher trying figure new balance personal professional commitment addition carving time social life looking explore new old interest cake decorating teaching art class return swing dancing,creating figuring thing constructed deciding whether recreate thing looking opening etsy shop hand crafted item,friendly open positive engaging one piece advice mother gave interested interesting think took advice heart,don watch much commerical tv mostly stick reading watching dvd ll admit plowing lot bbc costume drama recommendation friend movie missed theater love old movie anything pre code movie myrna loy william powell katherine hepburn cary grant field marx brother busby berkeley production frank capra list go bonus point know quote gift new movie pretty much anything pixar favorite recent documentary fold helvetica parking lot movie book used librarian currently teach 4th grade two young son child literature still huge part life currently reading rick riordan book soon son finish fascinated introduction greek roman mythology young reader love good tea cosy mystery agatha christie margery allingham elizabeth peter well historical fiction picked recent book jasper fforde loved tuesday next series music taste vary widely especially enjoy music 1920 1950 child 80 though pretty good range new wave pop behind grew listening kroq pasadena enjoy classical ambient anything harmonica bagpipe try food total omnivore draw line tripe animal part decent cook prefer baking cooking ll enjoy appreciate anything anyone fix,kid humor honesty integrity think need go together right common decency consideration opportunity learn try something new surrounded thing give pleasure good pot tea especially tea sandwich proper tea cup linen rule breaking thing paper paper lot amp pencil fondness freshly sharpened pencil,rest life look much feel add around think life list although lot thing wind wasn planning driving fire truck dancing chinese new year parade,alternately kid home eating pizza fun friend,hm conversation starter person,think enjoy company coffee tea dinner creative endeavor good project involving power tool glue gun mini adventure barbary coast walking tour,white,68,,education academia,2012 06 30 00 39,san francisco california,kid,straight,like dog dislike cat,atheism laughing,,sagittarius rsquo fun think,,english,single
1176,37,athletic,mostly anything,socially,never,graduated college university,newish sf year now enjoying life feel lucky ve lived abroad traveled extensively wandered pursued whim basically whatever hell wanted totally worth now life stable balanced managed land good job one best city world try enjoy area much possible self description strong silent kind gentleman independent spiritual athletic simple subtle understated curious intense proud sarcastic loyal honest genuine,running hiking playing soccer volleyball riding bike taking road trip skiing watching movie discovering music taking picture drinking dive bar absorbing california sitting park napping managing project advertising company friend brother son uncle,hurdle trivia driving direction jenga cornhole skipping dry humor word association taking shirtless cellphone picture mirror,tall blonde easy spot crowd,small sample spoon morning jacket radiohead beck wilco tv radio greek food sushi bbq fat tire shot pint seafood steak siddhartha little prince wire netflix,coffee competition spotify internet michigan hope,improve going next whether grass greener side,usually meeting friend work happy hour sometimes recovering big thursday resting big saturday leaving town,pony make cry,want go outside something walk hike run bike whatever re drama free don take seriously re thirsty feel grabbing drink,white,76,,sale marketing biz dev,2012 06 30 09 05,san francisco california,doesn rsquo kid want,straight,like dog like cat,agnosticism serious,,gemini doesn rsquo matter,sometimes,english fluently,single
1179,60,little extra,strictly,,never,two year college,photo oldest daughter gal short hair married 38 year husband passed away year ago really nervous scared meet one kind person good heart hoping meet someone enjoys life family much,happy person learning live life loving every minute,patient tolerant understanding,kind person genuine heart,enjoy reading book sidney sheldon john grishman going movie theater something try regularly love going listen music either jazz latin jazz enjoy cooking going nice dinner good conversation,family pet friend love compassion good music,meeting one beautiful grand daughter,getting together friend home curled couch watching good movie long week work,nervous starting date,interested,white,63,,,2012 05 30 12 14,san leandro california,kid,straight,dog cat,,,leo,,english,single
1213,34,fit,mostly anything,socially,never,graduated master program,born poland raised egypt originally bangladesh went high school india came 1996 belgium went school upstate ny grad school boston time lived worked danbury ct nyc austin tx portland bay area ask question ll always honest answer tend wear heart sleeve thought forehead love sf good core group friend surround passionate work work life balance important believe 40 40 20 rule 40 time work 40 time partner 20 friend running important don expect partner one generally eat healthy eat everything foodie food snob love cook generally stay week night try catch friend hump day value loyalty honesty kindness important liberal non judgmental trusting someone comfortable skin don give people try help whenever appreciate nice glass vino much morning starbucks latte sunday glued football might go walk wander around city run spinning couple time week waking sun make happy easy going laugh lot spontaneous don want partner rude dishonest selfish cheap manipulative generally playful prefer someone like share isn look partner,mid stage career good love great group friend sf home love buy place someday want continue grow person definitely want kid someday partner crime nice touch finish picture,explaining thing people making sure everyone get along,filter,book spend enough time reading contract movie always going movie favorite show love live music music listen biased towards 80 top 40 hip hop food live sf always trying new cuisine foodie,iphone music vino sunshine sf people,working hard playing hard organize activity,love catching friend co worker happy hour,particularly close family love kid sister,want meet drink work,indian,68,150000,sale marketing biz dev,2012 07 01 06 39,san francisco california,doesn rsquo kid might want,straight,like dog,agnosticism,,scorpio,,english,single
1237,37,average,mostly,,never,working ph program,born grew oakland ca looking kind caring honest single woman spend quality time build lasting relationship may include short trip sporting event nice picnic quiet evening home hold intelligent conversation topic news today type person send flower significant,currently working special project related field management amp marketing profession busy schedule willing spend quality time right person,showing compassion lending shoulder cry helping others need showing respect others,tall asian male say look younger actual age stay fit playing sport running,favorite show miss epsiode day life law amp order svu criminal mind closer music enjoy include mariah carey whitney houston michelle branch phil collins food enjoy tasting chinese american japanese,coke day fastfood twice week responding email watching nfl superbowl shopping walmart surfing craigslist,enjoy life given daily stress given day,hulu catching favorite tv show missed week,busty woman always attention,think commonality want explore,asian,70,40000,education academia,2012 07 01 08 40,oakland california,doesn rsquo kid want,straight,like dog,,,leo,,english fluently,single
1246,30,curvy,strictly vegetarian,,never,working ph program,art babe indie filmmaker san franciscan extraordinaire looking expand social circle make new connection enjoy anitquarian book store cult classic traveling abroad political discussion eco minded folk thing east buddhism yoga vintage diy fashion vegan lifestyle oriented nature friendly holistic social comedic long walk beach passionate curious strong,independent producing directing risk taker impassioned lover life conductor creative expression,psychological profiling directing control exposing vulnerability facilitating love driving anything fast performing improvisationally making people laugh hard piss,heart eye lip,gift hafiz letter young poet rmrilke anything jeanette winterson philip glass scissor sister jeff buckley bowie fugazi peach le tigre sonic youth velvet underground indian food vegetarian dish tofutti creme brulee decent cappucino,collection emile varo print first edition print duineo elegy bolex camera box old love letter passion thrill seeking gene,filmmaking photography existentialism surrealism french new wave alchemy pushing social boundary david lynch call response jazz paris tantra global politics feminist construct northern shaolin social relationship rainer maria rilke ofcourse dharma,gallery opening kicking homies making dinner,perform kundalini yoga bath,re looking friendship collaborative partner philisophical discussion,white,65,,artistic musical writer,2012 07 01 02 13,san francisco california,doesn rsquo kid want,gay,like dog like cat,buddhism serious,,cancer,,english fluently hebrew okay french fluently,single
1278,29,little extra,mostly anything,socially,never,graduated college university,probably tell username marlon happily born raised bay area music life technology oh yeah something called food incredibly delicious cheering bay area sport team whether winning overall believe life constant journey filled many adventure experience hopefully share adventure sometime,live left brain right brain kind life software engineer day keyboardist instrumental band night hobby enjoy driving walking around city taking scenic photo playing piano guitar occasional running basketball hitting batting cage satisfy baseball withdrawal singing karaoke voice work sadly isn time,solving problem fixing thing supportive others,pretty laid back lazy sense exploring new place experiencing new thing excites generally optimistic life know see good others,book um wikipedia count much book reader except job related case point currently reading javascript good part movie office space inception remember titan hangover anything made pixar show anything sport related anything discovery channel food network music love going concert try go least one month stevie wonder role model amp will always favorite genre listen everything current inclination day hip hop alt rock indie rock food ll admit sucker italian food love food general fast food though,family friend remain close camera piano laptop basketball flashlight case sun explodes something,going next day usually take thing one day time,singing karaoke friend san mateo always fun time especially try rapping fast song run breath time,usually lose voice go roller coaster oh clown scare,curious want know maybe want know favorite song moment ve reading profile whatever ll happy chat anytime,asian,66,,science tech engineering,2012 05 24 22 07,san bruno california,doesn rsquo kid want,straight,like dog dislike cat,catholicism,,gemini,,english fluently spanish poorly tagalog poorly,single
1281,25,curvy,mostly vegetarian,socially,sometimes,graduated college university,recently moved oakland six year spent dead suburbia orange county born libyan parent grew rome cairo damascus life constant ongoing identity crisis never learned ride bike giggle lot rarely take anything seriously yet pretty serious person good writing self summary never say,cog supply chain stay afloat working grad school application comp lit lazing around adventuring discovering area forging new bond going bar show park searching community failing seeking displaced weaving aesthetic political outrageous inappropriate chainsmoking drinking beer backyard awkward around kid,language writing giggling cooking listening inappropriate,height small foot loud giggle,djebar ben jelloun balzac kundera maupassant name dura baudelaire rimbaud claude cahun houda barakat mohamed dib flaubert colette nancy houston bataille huysmans albert memmi zola resnais truffaut jodorowski dario argento giallo horror binge lately lynch bergman pasolini catherine breillat kiarostami makhmalbaf six foot twin peak mad men joanna newsom gainsbourg bloody valentine pixy portishead atlas sound deerhunter stereolab fairouz marcel khalife naseer shamma abdelhalim hafez,impermanence olive oil shower internet music cliche know except hour commute every day thing make bearable cynical disposition,gender language identity displacement postcolonialism memory circular linear narrative break tradition modernity trope writing thing arab pushing boundary language finding home language translate overcome schizophrenia new restaurant try new recipe make internet loop war make life feel le unsatisfying unfulfilling empty,friend place bar event city bed netflix book wasting time tumblr,teenager aunt make watch baby cousin pinch make stop cry,want grab drink catch show watch movie cook together make new friend chainsmoking session practice french practice arabic practice stand routine practice practice everyday life la michel de certeau,middle eastern,60,,,2012 06 27 14 08,oakland california,doesn rsquo kid doesn rsquo want,bisexual,cat,atheism laughing,,gemini doesn rsquo matter,yes,english fluently arabic fluently french fluently italian okay spanish poorly,single
1305,22,athletic,mostly anything,socially,never,working two year college,quite reserved guy tend independent keep work lot school friend keep healthy sane don drink coffe soda never tried coffe enough energy need know someone awesome personality will nothing love art music reading almost every day love going adventure even planning anything getting fun part ll probably tough guy along chemistry promise will best thing,currently collage student studying marketing brand development fashion design yeah thats right straight guy know fashion thought existed well assure unique taste still studying job lined currently intern now though,ve snowboarding ten year making people laugh enjoy sport sprot really outdoors love longboarding enjoy making story writing short poem acting filming ve friend short film,ginger ha ask soul oh nice face stare tell creeped,favorite movie hitchhiker guide galaxy favorite show mad men sherlock eastbound south park family guy old one futurama dont favorite food eat anything ha favorite music grew jazz john coltane steely dan tower power best love big band music dean martin frank sinatra enjoy lot new music black key bloody beetroot rjd2 amy winehouse bassnecter childish gambino girl talk pretty much music classic best,friend family skateboard art music laughing,crazy ludicrous idea funny story scenario enjoy debate friend especially politics science philosophy space favorite,friend hanging maybe going around town messing around house drinking typically playing board game funny pose camera,used punch kick sleep secret huge nerd pretty self conscious sometimes will quite enjoy dreaming little self conscious awesome ha,really wanna know little weird life little weird find someone whose weirdness compatible join fall mutual weirdness call love dr seus,white,68,20000,student,2012 06 27 13 04,san francisco california,doesn rsquo kid,straight,like dog like cat,laughing,,cancer doesn rsquo matter,,english fluently,single
1315,37,fit,strictly anything,socially,never,graduated college university,originally chicago lived sf 2000 everyone love bay area living many different thing try see regular basis firmly believe random fact say person essay personality trait mine choir solo younger quite horrible singing voice adult first concert menudo recent one rogue wave johnny mathis ve visited 20 country dream trip driving across one choose super power definitely teleportation oh place go ve bungee jumped leaped plane twice completed two marathon bring karaoke note singing voice mentioned sometimes decision making spontaneous impulsive thus jumping thing see earthworm sidewalk rainstorm ll pick put back grass dirt people always freaked sure say soda say pop arcade ll find front area 51 time crisis favorite comedian daniel tosh nothing better sarcastic bad good joke especially inside one blah blah blah blah blah actually still reading people tell understand brutal honesty kind english mom second language yet always win scrabble console defeating brother,making time life wanna help,six degree kevin bacon living old adage one way find honest loyal reliable friend listening beyond someone word paying attention isn said,smile,book little friend 100 year solitude road le traveled little prince watership movie powerless hollywood action blockbuster big budget special effect others never tire shopgirl t2 bad santa big lebowski singin rain made tv park recreation brings indescribable amount joy music fan song follower specific artist always keep rotation greg laswell joshua radin patrick park rogue wave angel amp airwave radical face frank sinatra johnny mathis food sushi prime rib soup burrito,passport adventure brings family friend family peace quiet conversation memory moment make alone time day absolutely nothing,next meal travel destination,unwinding,secret isn anything someone doesn know,something strike meet actual conversation anything wanna know getting know someone fun better done person lengthy email text exchange whether turn romantic end friendship either way bonus book,pacific islander hispanic latin,64,,entertainment medium,2012 07 01 00 59,san francisco california,doesn rsquo kid might want,straight,like dog cat,christianity serious,,taurus doesn rsquo matter,,english fluently,single
1341,26,fit,mostly anything,socially,never,graduated college university,see palm pant got world hand make spin finger critical thinker hella smoker bit drinker,ain artsier cause read book don watch ain artsier cause shop whole food open toed shoe ain artsier cause speak real soft drink chai tea ain artsier recycle kinda,good anything computer related includes web app development know lot music particularly underground hip hop radio show year people say strong voice nerd nice hand like talk yea,absorbing attention must don want overlooked don want looked much,book big non fiction biography right now working steve job biography read music movie lot documentary true life movie comedy favorite include style war pirate radio belly good day black sexy wackness malcolm tv watch 30 rock john stewart colbert office weed showtime hbo goodness music really kind hip hop atmosphere kanye west tupac everything soft spot 90 hip hop rock pink floyd rage machine white stripe ska electronic love hear listening,coveted thing high self esteem low tolerance telling lean see important part one unseen see wing don make fly crown don make king,wish little bit taller wish baller wish girl looked good call,going amoeba record dig crate go dont go bar club much,mithafuckin alien,voted obama tape deck record player respect need website,black,67,40000,science tech engineering,2012 06 27 23 09,san francisco california,doesn rsquo kid want,straight,like dog like cat,christianity somewhat serious,,capricorn rsquo fun think,,english fluently spanish okay,single
1465,34,average,mostly anything,socially,sometimes,graduated college university,back someone mentioned movie life hilarious may true film made right now probably touching story self discovery much prefer star sexy romantic comedyso looking co star ve done prioritizing last several year arriving point life centered around love making time take care loyal come self reflective take seriously impact around passionate life dream goal will support,love alchemy involved taking sugar cream butter turning rich dark carameland don started ice cream moment away realizing life long dream owning small retail food business construction begin july 2012 thing real work mode love hiking oakland hill lifting weight discovering delicious new cocktail friend daydreaming life will bos,slightly elaborate cooking project throwing cocktail party making conversation small talk sarcasm though totally sure coming profile taking picture camera karaoke ing cyndi lauper part world touching toe supporting friend,sense humor smile,favorite food begin vietnamese probably favorite cuisine anything middle eastern peach cherry favorite fruit candy kind top list sushi carne asada chicken strip ranch dressing go though usually pretty healthy eater last novel really loved dave eggar don favorite ve reading lot cookbook lately favorite movie time harold maude hedwig angry inch music left device listen pandora madonna michael jackson station hour one live eighty pop alone without going little insane love hip hop motown totally open introduced kind music rely beloved friend ply good music,ice cream redwood regional park yoga weightlifting making people laugh npr stop right dog especially short haired smushy faced variety really good food cocktail,figuring make homemade sour candy perfecting caramel making ice cream learning temper chocolate getting redwood hike hell re ll able swing dog life ll find one next meal,making dinner friend getting drink hanging busy week,kind open book guess totally sure really want grownup even though ve acting one last twenty year,re creative compassionate witty edge looking meet someone lot fun,white,64,,,2012 06 30 21 03,oakland california,doesn rsquo kid want,straight,like dog like cat,judaism,,leo doesn rsquo matter,,english,single
1470,58,average,mostly anything,socially,never,working college university,gentleman honest trustworthy dependable lovable romantic outgoing home love nature animal,staying light re inventing bad economy time,almost anything put mind,sincerity honesty,history technical designing home landscaping music food,water food god love life work exercise,something great make money community,home significant,slight flaw,willing truthful honest,white,71,,,2012 06 03 07 47,san francisco california,doesn rsquo kid might want,straight,like dog like cat,christianity serious,,gemini rsquo fun think,,english fluently spanish fluently russian okay okay okay,single
1486,29,used,mostly,socially,sometimes,working space camp,music travel art train horror bike passion living bay year now originally ohio lot time road meeting new face place town spend time active community setting show local touring band intention live sucked vortex bay area getting lost amazing crap cell phone facebook prefer keep way always fun see people reaction tell kinda shy first unless liquid courage great meet cool cat make new friend considering sometimes critically awkward find hard approach folk re someone want awesome go adventure together paint town pink let amazingly awesome,fuck live,laughing inappropriate time cooking sleeping anywhere making hard cider awkward told eye photography riding bike building bike riding bike head crashing bike destroying bike,hair height nose,book monkey wrench gang george orwell evasion coming insurrection lovecraft please kill burroughs kerouac hunter thompson neil gaiman many zines list music devo mummy unit death sentence panda lightning bolt rene hell factums japanther man man air skinny puppy dan deacon cramp ohgr sonics orbital mc5 screamin jay hawkins bo diddly butthole surfer lard otis redding supercharger rex thin lizzy fear deadbolt siouxsie banshee iggy pop seed revolting cock pixy nick cave muddy water lead belly link wray laika cosmonaut king khan shrine king khan bbq show johnny thunder new york doll elvis chuck berry booker mg anything motown phantom surfer dark dark dark hail seizure dick dale frontline assembly fender four ministry talking head name list go food burrito addiction desire kick habbit movie bubba ho tep dead alive evil dead fear loathing la vega donnie darko zombie waking life hellraiser nightmare elm street series american pop creepshow re animator beach whole bunch cheesy horror flick dark humor,animal dumpster music ocean urban decay smell old book dark rain cloud sun still blasting bike,privilege train police state burrito friend scam 2012 will bring cooking life,vomiting half naked someone front yard lamp shade head screaming lyric build buttercup,tramp stamp,wanna play chess listen good music pick booger go bike ride drink 40 rooftop watch cartoon go dumpster date feed homeless flat bored prolly make smile,asian middle eastern black native american indian pacific islander hispanic latin white,76,20000,artistic musical writer,2012 07 01 08 46,cincinnati ohio,doesn rsquo kid doesn rsquo want,straight,like dog like cat,atheism laughing,,pisces doesn rsquo matter,drinking,english poorly hawaiian poorly,single
1495,27,thin,mostly anything,socially,never,graduated college university,marina outside mission inside,section re supposed make oblique reference line work year great tech company starting productize idea consulting serf amp pay bill,good point creepy memory particularly recalling name invaluable skill secret fdr upon introduction make sure understand person name correctly envision written across forehead way associate name facial feature won change repeat name back shaking hand won remember haircut aren still wearing sequin evening gown next time see,tall san francisco tall dutch tall phenotypic incongruity brown hair blue eye whereas blue eyed woman bleach hair blonde possible lot brown eyed woman ve always thought make look golden retriever,tough answer taste change lot shared value better indicator compatibility shared interest last consumed book talent overrated geoffrey colvin remember outlier malcolm gladwell theory requiring 10 000 hour practice achieve domain expertise spend hour movie don go movie lot last one bridesmaid don hate 90 fresh rotten tomato really high comedy kristen wiig first screenplay ll support anything good female comedy writer take related juno diablo cody first screenplay mean girl tina fey first screenplay 30 rock first pilot bad tv count recently went taping daily show jon stewart answer mad men whatever hbo put front sunday night music trent reznor atticus ross soundtrack social network album transcendental power make checking gmail feel hacking norad food today honey nut cheerio breakfast tropisueno lunch elite audio system coffee stereo store serf blue bottle bar agricole dinner local edition new bourbon amp branch amp rickhouse owner drink chose breakfast palate midwestern tween,lemon wedge passport thirty country counting moleskine overpriced hipster notebook hopefully didn already know tiny german convertible third none still production crack pipe kidding usually without,structure scale idea way will help lot people lot people,dressed bond girl,shower naked,re curious adventurous smart earth eq match iq strive balance even never find sense style bit edge doesn anything striped shirt soft spot anyone visibly trying make lemonade lemon live san francisco proper even moved 000 mile end didn want miss everything another,white,68,,science tech engineering,2012 07 01 06 06,san francisco california,doesn rsquo kid might want,straight,like dog like cat,atheism laughing,,leo doesn rsquo matter,,english french,single
1503,52,average,mostly anything,socially,never,graduated college university,although thoroughly enjoying solo part life journey ready steady secure play mate adventure dance life know life richer committed partner share new experience knowing look intimate secret history woman truly appreciates much men woman plenty girl friend life special man life looking man get effort work yes drama looking forward journey discovering friendship romance final goal best friend lover life partner rush want right need desire will worth wait 18 year old daughter spent vast majority last summer costa rica leading service project love experience view world graduated soon college goal going international agricultural development spanish linguistics love ve entrepreneur indy coffee house roastery still around changed industry 18 month ago telecommunication enjoying challenge work benefit working someone dream another entrepreneurial venture idea bubbling around favorite time year booking musician giving artist opportunity show work meeting customer chatting regular experimenting make different chain working technology internet word build brand putting large multifaceted multi day specialty coffee industry event preference include music tv touching needing space talking quiet although silence ok ceramic paper coffee quality treasure lot stuff sleeping bed sleeping ground rather something instead watching something glass half full empty dark chocolate milk nature indoors painted toenail unpainted playful moment enjoying gift sens preferably rushing paying attention red white pinot cab fresh close earth food processed exercising water land friend amp family public gathering candlelight lamp light honesty honoring authentic self conforming fit make moment easier laughing everything love creating artwork dream collaborating partner paying forward giving back knowing responsibility taken care freely play getting know people discovering special one favorite form exercise school fish outrigger canoe paddling want concert theater exploring bay area beyond wine tasting spiritual connection partner religious cooking together vrigin trip burning man excellent health exercising eating better self aware physically consistantly working improving working emotionally great shape plan living best life based family history ve likely got long second half ahead,completed 10 week 10 leg 149 mile paddle aound bay 14 outrigger canoe club afterwards learned one three known people completed journey truly spectacular way spend bunch saturday book plus made 100 new liked minded friend learning sail relish time friend amp family creative project cooking new recipe add golfing skill second half life balancing career industry change year entrepreneurial venture time almost grown high school senior enjoying life surprise adventure growth opportunity living fullest brings,people feel comfortable quickly guess biggest natural gift freely offering kind sincere word hug human accepting others balancing fun work going flow situation loving life positive negative seems bounce day manifesting good thing kissing well love figure good willing try something new completely honest open confidence fine way,people say tell,oh list long love book don read much seem go personal growth topic enjoy movie live show don tend favorite listen music much tv love exposed new musician kind food day day eat low carb whole grain organic much possible close ground food enjoy meat occasional indulgence balance,survive without want life time creatvity music nature amp movement feed soul optimistic curiosity journey life willingness look inside door open lead new fun adventure quiet time recharge human touch physical emotional cozy visually pleasing simple home,make difference someone life today thing add bucket list recently night time scuba dive believe many wonderful time ahead daughter guide happy adulthood man future will become best friend lover life partner,typical depends week sound fun evening range simply going home unwinding week spending time friend taking advantage something fun going pull direction,private private find men clean shaven face edgy facial hair appealing,something profile resonates please send message hi let coffee appreciated taken time self introspection understand emotionally physically healthy available love play love laugh love banter serious conversation needed love kiss cuddle bit free spirit yet secure stable responsible enjoy people attitude obstacle adventure want work together complete honesty matter difficult time ability flex journey life dictate yet good seeing make great friend first,white,66,70000,sale marketing biz dev,2012 06 30 22 21,benicia california,kid,straight,like dog,somewhat serious,,pisces rsquo fun think,,english french poorly,single
